"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"2000/10/22 - 2000/10/26","Jiang Zemin/Kim Jong-il","North Korea","Chi Haotian (迟浩田) and Kim Jong-il (金正日)","Vice Chairman of the Central Military Commission, State Councilor and Minister of Defense (中央军委副主席、国务委员兼国防部长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Anniversary Visit: 50th anniversary of the People's Volunteer Army joining the Korean War","http://www.ziliaoku.org/rmrb/2000-10-26-1#1173737"
"2001/01/15 - 2001/01/20","Jiang Zemin/Kim Jong-il","China","Kim Jong-il (金正日) and Jiang Zemin (江泽民)","General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Summit Meeting: Unofficial visit, also visited Shanghai","http://kp.china-embassy.org/eng/zcgx/zcgxgk/t308491.htm"
"2001/03/20 - 2001/03/24","Jiang Zemin/Kim Jong-il","North Korea","Zeng Qinghong (曾庆红) and Kim Jong-il (金正日)","Alternate Member of the Central Politburo and Secretary of the Secretariat of the Communist Party of China (中共中央政治局候补委员、书记处书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Conveyed Kim Jong-il's invitation to Jiang Zemin to visit North Korea","http://www.ziliaoku.org/rmrb/2001-03-23-3#1224827"
"2001/07/09 - 2001/07/13","Jiang Zemin/Kim Jong-il","North Korea","Jiang Chunyun (姜春云) and Yang Hyong-sop (杨亨燮)","Member of the Central Politburo of Communist Party of China and Vice Chairman of the Standing Committee of the National People's Congress (中共中央政治局委员、全国人大常委会副委员长) and Vice President of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会副委员长)","Anniversary Visit: 40th anniversary of Sino-North Korean Mutual Aid and Cooperation Friendship Treaty","www.ziliaoku.org/rmrb/2001-07-10-3#1226069"
"2001/07/10 - 2001/07/14","Jiang Zemin/Kim Jong-il","China","Kim Yun-hyeok (金润赫) and Jiang Zemin (江泽民)","Secretary of Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会秘书长) and General Secretary of Communist Party of China (中共中央总书记)","Anniversary Visit: 40th anniversary of Sino-North Korean Mutual Aid and Cooperation Friendship Treaty","http://www.ziliaoku.org/rmrb/2001-07-12-1#1229399"
"2001/09/03 - 2001/09/05","Jiang Zemin/Kim Jong-il","North Korea","Jiang Zemin (江泽民) and Kim Jong-il (金正日)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Summit Meeting: Official goodwill visit, Jiang's first visit since 1990","http://www.ziliaoku.org/rmrb/2001-09-04-1#1205892"
"2002/05/06 - 2002/05/10","Jiang Zemin/Kim Jong-il","North Korea","Jia Qinglin (贾庆林) and Kim Jong-il (金正日)","Member of the Central Politburo of Communist Party of China (中共中央政治局委员) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit: Communist Party of China delegation","http://www.ziliaoku.org/rmrb/2002-05-10-3#1266686"
"2002/10/15 - 2002/10/19","Jiang Zemin/Kim Jong-il","China","Yang Hyong-sop (杨亨燮) and Jiang Chunyun (姜春云)","Vice President of Presidium of the Supreme People's Assembly (最高人民会议常任委员会副委员长) and Member of the Central Politburo of the Communist Party of China and Vice Chairman of the Standing Committee of the National People's Congress (中共中央政治局委员、全国人大常委会副委员长)","Goodwill Visit","http://www.ziliaoku.org/rmrb/2002-10-16-4#1247581"
"2003/10/29 - 2003/10/31","Hu Jintao/Kim Jong-il","North Korea","Wu Bangguo (吴邦国) and Kim Yong-nam (金永南)","Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长) and President of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会委员长)","Goodwill Visit: Official goodwill visit","http://www.ziliaoku.org/rmrb/2003-10-30-1#1292285"
"2004/01/19","Hu Jintao/Kim Jong-il","North Korea","Wang Jiarui (王家瑞) and Kim Jong-il (金正日)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","Goodwill Visit","http://news.xinhuanet.com/world/2004-01/19/content_1284016.htm"
"2004/03/23 - 2004/03/25","Hu Jintao/Kim Jong-il","North Korea","Li Zhaoxing (李肇星) and Paek Nam-sun (白南舜)","Minister of Foreign Affairs (中华人民共和国外交部长) and Minister of Foreign Affairs (朝鲜民主主义人民共和国外交部长)","Goodwill Visit","http://news.xinhuanet.com/english/2004-03/23/content_1380840.htm"
"2004/04/19 - 2004/04/21","Hu Jintao/Kim Jong-il","China","Kim Jong-il (金正日) and Hu Jintao (胡锦涛)","General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Summit Meeting: Unofficial visit, 1st since Hu Jintao came into power, also visited Tianjin","http://news.sina.com.cn/z/KimJongilChina/"
"2004/07/13 - 2004/07/14","Hu Jintao/Kim Jong-il","China","Kim Il-chol (金一哲) and Wu Bangguo (吴邦国)","Member of the National Defence Commission and Minister of the People's Armed Forces (朝鲜民主主义人民共和国国防委员会委员、人民武装力量部长) and Member of the Politburo Standing Committee of the Communist Party of China and Chairman of the Standing Committee of the National People's Congress (中国共产党中央政治局常务委员会委员、全国人大常委会委员长)","Goodwill Visit","http://www.chinacourt.org/article/detail/2004/07/id/124165.shtml"
